Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ABCE1	2795.63092672482	0.684607594218715	0.0525458832355205	13.0287579552174	8.39632874018911e-39	6.04378953897173e-38
ABCF1	6153.31611032324	0.313271795971883	0.0169997360296674	18.4280388486722	7.8269360204776e-76	1.88429021554211e-74
ABCF2	2970.11429414594	0.461830363248862	0.0226726942984507	20.3694522216718	3.12149850435797e-92	1.1744564916772e-90
ABCF3	4155.55187806759	0.340029522058487	0.0349625684077999	9.72553040418588	2.34679112914913e-22	9.56555880161722e-22
ABCG1	325.219524443206	-1.0582217133994	0.0851845489647371	-12.4226955035879	1.96816551096233e-35	1.27075309584155e-34
ABCG2	1720.08981078541	1.33877418411053	0.142252076651697	9.41128042291086	4.90129269630902e-21	1.8964021557357e-20
ABCG4	1.95229102584795	-0.00951018222744077	0.290439178646811	-0.0327441437885542	0.97387862109657	0.979531926763263
ABCG5	0.27007413659746	-1.32641588756588	0.664345751398049	-1.99657465224181	0.0458714086924936	0.0644778320543399
ABCG8	0.177246415528012	-0.59963860127144	0.753842414827305	-0.795442906205813	0.426355909855529	0.493413486735062
ABHD1	12.916327904205	-0.728697553282796	0.111022328623485	-6.56352251225123	5.25512968881237e-11	1.33434250163894e-10
ABHD10	713.753335844442	-0.031770111797418	0.0285183153544507	-1.11402484342259	0.265268528875634	0.325212113921302
ABHD11	2340.1910838829	-0.503233451701377	0.0382676676415093	-13.1503559719306	1.69375173992368e-39	1.25152901224869e-38
ABHD12	4844.74318884389	-0.208497325546258	0.0371833558698572	-5.60727563902527	2.05536190073329e-08	4.62502553380895e-08
ABHD12B	0.879704571662278	0.0991772667808808	0.472608372768814	0.209850845849054	0.833784087249684	0.866410828896382
ABHD13	407.953827271702	0.0168750393193758	0.0491070417045326	0.343637872159141	0.731118639416979	0.77915875726153
ABHD14A	87.6968031257899	-0.349950634525431	0.0514716405623299	-6.79890189436755	1.05419571275333e-11	2.76785033039477e-11
ABHD14A-ACY1	0	NA	NA	NA	NA	NA
ABHD14B	75.7442454222399	-0.6365764739965	0.0666468003637588	-9.55149340286496	1.27839971107049e-21	5.05661297944922e-21
ABHD15	1365.14208855105	0.394696489324669	0.0225043584540384	17.5386687930151	7.26084013669101e-69	1.38807328981126e-67
ABHD16A	1596.02024717737	-0.68547104386165	0.0303115893918294	-22.6141570803418	3.14480489265685e-113	2.22063089145565e-111
ABHD16B	548.592676368208	-0.0502643397269049	0.0604787689293412	-0.831107190452735	0.405913078066627	0.473114108318066
ABHD17A	167.421314473121	-2.3322889825315	0.276376888357575	-8.43879890388661	3.20615152397774e-17	1.06733337752074e-16
ABHD17B	820.430812293251	0.104111061188295	0.0395974938320569	2.62923359821348	0.00855775534624431	0.013225741809
ABHD17C	2256.47798644736	-0.472918249211776	0.0530531151330787	-8.91405241757257	4.92005478429867e-19	1.75657430379786e-18
ABHD2	7324.95225643383	0.0161346691023492	0.0486630906104831	0.331558659755027	0.740222540009669	0.786729151182985
ABHD3	410.278719915715	0.385806149603317	0.0526756059983638	7.3241900551709	2.40345863959494e-13	6.78762984909687e-13
ABHD4	1306.13917560712	-0.804136357028875	0.0632834623666447	-12.7068957189788	5.41413250540678e-37	3.67676983621495e-36
